top - 00:32:37 up 1 day,  6:48,  3 users,  load average: 1.07, 1.05, 1.05
Tasks: 114 total,   2 running, 112 sleeping,   0 stopped,   0 zombie
%Cpu(s): 25.1 us,  0.7 sy,  0.0 ni, 74.2 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    948016 total,   464724 used,   483292 free,   112208 buffers
KiB Swap:   102396 total,        0 used,   102396 free,   232492 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
 2227 pi        20   0  3560  216    0 S   0.0  0.0   0:01.13 ssh-agent
 2230 pi        20   0  3404 1624 1428 S   0.0  0.2   0:00.00 dbus-launch
 2231 pi        20   0  3316 2008 1608 S   0.0  0.2   0:00.25 dbus-daemon
 2237 pi        20   0 17204  12m 8044 S   0.0  1.3   0:11.74 openbox
 2240 pi        20   0 90144  20m  17m S   0.0  2.3   3:37.52 lxpanel
 2243 pi        20   0  130m  27m  23m S   0.0  3.0   0:24.06 pcmanfm
 2246 pi        20   0 27404 8784 8028 S   0.0  0.9   0:00.09 lxpolkit
 2250 pi        20   0 43548 6620 5936 S   0.0  0.7   0:00.45 gvfs-gdu-volume
 2252 pi        20   0  8572 4324 4000 S   0.0  0.5   0:00.08 gvfsd
 2257 root      20   0 24356 5316 4716 S   0.0  0.6   0:00.27 udisks-daemon
 2258 root      20   0  6368 1740 1484 S   0.0  0.2   0:10.97 udisks-daemon
 2261 pi        20   0 20400 2912 2564 S   0.0  0.3   0:17.10 gvfs-afc-volume
 2264 pi        20   0  9096 4540 4100 S   0.0  0.5   0:00.05 gvfs-gphoto2-vo
 2269 pi        20   0 15000 5044 4568 S   0.0  0.5   0:06.68 menu-cached
 2272 pi        20   0 25672 5704 5232 S   0.0  0.6   0:00.19 gvfsd-trash
 2277 root      20   0     0    0    0 S   0.0  0.0   0:00.00 jbd2/mmcblk0p5-
 2278 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
 2283 root      20   0     0    0    0 S   0.0  0.0   0:00.00 jbd2/mmcblk0p3-
 2284 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
 2286 pi        20   0  150m  20m  17m S   0.0  2.2   5:25.90 lxterminal
 2287 pi        20   0  2072 1420 1292 S   0.0  0.1   0:00.01 gnome-pty-helpe
 2288 pi        20   0  6016 4348 2740 S   0.0  0.5   0:01.33 bash
 2353 root      20   0  4928 3516 1796 S   0.0  0.4   0:00.20 dhclient
 2398 root      20   0  6248 2956 2528 S   0.0  0.3   0:00.00 sshd
 2600 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/2:1H
 2617 pi        20   0  6016 4520 2912 S   0.0  0.5   0:03.44 bash
 2649 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/3:1H
 2692 pi        20   0  8152 5240 4872 S   0.0  0.6   0:00.05 gvfsd-metadata
 3233 root      20   0     0    0    0 S   0.0  0.0   0:00.04 kworker/u8:0
 3737 pi        20   0  1788  388  336 S   0.0  0.0   0:00.00 sh
13206 root      20   0  2912 1064  532 S   0.0  0.1   0:00.00 udevd
19210 pi        20   0 48712 8924 7784 S   0.0  0.9   0:10.00 gvfsd-http
19570 root      20   0  2912 1984 1444 S   0.0  0.2   0:00.01 udevd
21167 root      20   0     0    0    0 S   0.0  0.0   0:01.21 kworker/u8:1
26656 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/3:1
27163 root      20   0     0    0    0 S   0.0  0.0   0:01.81 kworker/0:0
28825 pi        20   0  6012 4448 2840 S   0.0  0.5   0:00.44 bash
29126 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/0:2
30075 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/u8:2
32649 root      20   0     0    0    0 S   0.0  0.0   0:07.70 kworker/3:2
